"model_id","forecast_date","region","variable","unit","target_period","output_type","output_type_id","value","declared_target"
"konjecture_ar2","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","point",NA,2.8207,"advance"
"konjecture_ar2","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.025",-5.9297,"advance"
"konjecture_ar2","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.1",-2.9009,"advance"
"konjecture_ar2","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.25",-0.1906,"advance"
"konjecture_ar2","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.5",2.8207,"advance"
"konjecture_ar2","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.75",5.832,"advance"
"konjecture_ar2","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.9",8.5423,"advance"
"konjecture_ar2","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.975",11.5711,"advance"
"konjecture_dfm_bridge","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","point",NA,3.2524,"advance"
"konjecture_dfm_bridge","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.025",-1.5069,"advance"
"konjecture_dfm_bridge","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.1",0.1405,"advance"
"konjecture_dfm_bridge","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.25",1.6146,"advance"
"konjecture_dfm_bridge","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.5",3.2524,"advance"
"konjecture_dfm_bridge","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.75",4.8903,"advance"
"konjecture_dfm_bridge","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.9",6.3644,"advance"
"konjecture_dfm_bridge","2026-07-06","US","rgdp_growth","saar_pct","2026Q2","quantile","0.975",8.0117,"advance"
