region,variable,target_period,release_label,published_on,value_native,unit_native,value_qq,source,retrieved_at,source_file
US,rgdp_growth,2011Q3,advance,2011-10-27,2.46370669918625,saar_pct,0.6103,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2011Q4,advance,2012-01-27,2.75231365508761,saar_pct,0.6811,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2012Q1,advance,2012-04-27,2.20430347798211,saar_pct,0.5466,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2012Q2,advance,2012-07-27,1.53694407586329,saar_pct,0.382,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2012Q3,advance,2012-10-26,2.01377640147979,saar_pct,0.4997,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2012Q4,advance,2013-01-30,-0.143486179168539,saar_pct,-0.0359,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2013Q1,advance,2013-04-26,2.50239969731696,saar_pct,0.6198,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2013Q2,advance,2013-07-31,1.67365787858027,saar_pct,0.4158,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2013Q3,advance,2013-11-07,2.84626527816161,saar_pct,0.7041,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2013Q4,advance,2014-01-30,3.22788734067319,saar_pct,0.7974,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2014Q1,advance,2014-04-30,0.107933,saar_pct,0.027,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2014Q2,advance,2014-07-30,3.950188,saar_pct,0.9732,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2014Q3,advance,2014-10-30,3.549231,saar_pct,0.8757,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2014Q4,advance,2015-01-30,2.641736,saar_pct,0.654,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2015Q1,advance,2015-04-29,0.247549,saar_pct,0.0618,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2015Q2,advance,2015-07-30,2.322465,saar_pct,0.5756,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2015Q3,advance,2015-10-29,1.493381,saar_pct,0.3713,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2015Q4,advance,2016-01-29,0.691441,saar_pct,0.1724,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2016Q1,advance,2016-04-28,0.537795,saar_pct,0.1342,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2016Q2,advance,2016-07-28,1.217502,saar_pct,0.303,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2016Q3,advance,2016-10-28,2.900812,saar_pct,0.7174,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2016Q4,advance,2017-01-27,1.873485,saar_pct,0.4651,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2017Q1,advance,2017-04-28,0.692529,saar_pct,0.1727,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2017Q2,advance,2017-07-28,2.56771,saar_pct,0.6358,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2017Q3,advance,2017-10-27,2.98896,saar_pct,0.739,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
