KEY,FREQ,REF_AREA,ADJUSTMENT,RT_ECON_CONCEPT,RT_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,UNIT_PRICE_BASE,AGG_EQUN,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_DETAIL,TITLE,TITLE_COMPL,UNIT,UNIT_MULT,ACTION,VALID_FROM,VALID_TO
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1991-Q1,1274000.74,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1991-Q2,1277869.9,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1991-Q3,1278644.5,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1991-Q4,1290938.94,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1992-Q1,1308890.69,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1992-Q2,1301769.84,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1992-Q3,1297559.46,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1992-Q4,1294663.18,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1993-Q1,1285610.07,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1993-Q2,1286601.89,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
RTD.Q.S0.S.G_GDPM_TO_C.E,Q,S0,S,G_GDPM_TO_C,E,1993-Q3,1290522.46,A,F,,,P3M,S,,,MNA.Q.Y.I10.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N,,,,,,"See <a class=""external"" href=""http://sdw.ecb.europa.eu/web/generator/docu/rtdb_docu.pdf""> notes</a>; block Quarterly; series: BM",,2,,,"Gross domestic product at market prices, volume",Euro area (moving concept in the Real Time database context) - Gross domestic product at market price - Chain linked volumes - Euro,EUR,6,Replace,2001-01-03T15:30:00.000+01:00,
