WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	Estimates Start After
512	AFG	NGDP_RPCH	Afghanistan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.692	0.671	11.830	5.361	13.340	3.863	20.585	8.438	6.479	13.968	5.683	2.697	1.310	2.367	2.505	2.500	2.982	3.482	3.984	4.484	4.984	2016
914	ALB	NGDP_RPCH	Albania	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.684	5.700	2.900	1.100	2.000	-1.500	5.600	-0.800	-1.400	9.800	-10.000	-28.000	-7.200	9.600	9.400	8.900	9.100	-10.924	8.829	12.891	6.946	8.293	4.537	5.529	5.515	5.526	5.903	5.983	7.500	3.354	3.707	2.545	1.417	1.002	1.774	2.230	3.366	3.934	3.714	3.771	3.880	3.899	3.950	3.951	2016
612	DZA	NGDP_RPCH	Algeria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-5.400	3.000	6.400	5.400	5.600	5.600	-0.200	-0.700	-1.900	4.800	0.800	-1.200	1.600	-2.102	-0.900	3.848	3.800	1.100	5.098	3.200	3.800	3.000	5.600	7.200	4.300	5.900	1.684	3.373	2.360	1.632	3.616	2.823	3.391	2.800	3.800	3.700	3.300	1.986	3.040	2.728	1.840	1.101	0.665	0.467	2016
614	AGO	NGDP_RPCH	Angola	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.406	-4.400	0.000	4.200	6.000	3.500	2.900	4.083	6.129	0.042	-3.450	0.991	-5.838	-23.983	1.339	15.000	13.544	7.274	4.691	2.181	3.055	4.206	13.666	4.554	10.238	20.907	18.989	23.190	13.817	2.413	3.453	3.873	5.178	6.843	4.704	3.000	-0.813	0.722	2.162	2.412	3.641	4.235	4.749	4.865	2015
311	ATG	NGDP_RPCH	Antigua and Barbuda	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	8.161	3.815	-0.084	5.364	10.165	7.644	11.494	6.626	5.213	5.252	3.012	2.177	1.158	5.280	6.676	-4.359	6.605	5.471	4.731	3.708	6.692	-4.979	1.031	6.069	5.746	6.406	12.736	9.264	-0.027	-12.110	-7.196	-2.087	3.495	-0.093	5.102	4.060	5.348	2.752	3.500	3.000	2.500	2.000	2.000	2.000	2016
213	ARG	NGDP_RPCH	Argentina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.700	-5.744	-3.149	3.733	2.000	-6.951	7.146	2.529	-1.957	-7.007	-1.338	10.498	10.299	6.251	5.836	-2.845	5.527	8.111	3.850	-3.385	-0.789	-4.409	-10.895	8.837	9.030	8.852	8.047	9.008	4.057	-5.919	10.125	6.004	-1.026	2.405	-2.513	2.731	-1.823	2.864	1.952	3.217	3.121	3.193	3.256	3.300	2017
911	ARM	NGDP_RPCH	Armenia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-14.054	5.400	8.033	5.169	3.387	6.271	3.170	5.853	9.468	14.807	14.052	10.473	14.113	13.198	13.749	6.948	-14.150	2.200	4.700	7.134	3.300	3.606	3.254	0.261	7.478	3.400	3.500	3.500	3.700	4.000	4.000	2016
193	AUS	NGDP_RPCH	Australia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.894	4.127	0.063	-0.474	6.346	5.456	2.448	4.893	4.253	4.623	1.506	-1.004	2.602	3.897	4.883	2.855	4.152	4.541	4.734	4.374	3.085	2.574	4.187	2.666	4.191	2.945	2.796	4.311	2.693	1.847	2.377	2.748	3.895	2.162	2.616	2.472	2.645	2.272	2.960	3.084	2.890	2.650	2.607	2.585	2017
122	AUT	NGDP_RPCH	Austria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.314	-0.099	1.908	2.804	0.332	2.243	2.341	1.681	0.961	3.887	4.346	3.442	2.094	0.527	2.402	2.668	2.398	2.094	3.581	3.556	3.376	1.267	1.652	0.941	2.735	2.244	3.454	3.727	1.460	-3.765	1.837	2.923	0.680	0.026	0.829	1.092	1.451	2.902	2.640	1.950	1.500	1.500	1.500	1.500	2016
912	AZE	NGDP_RPCH	Azerbaijan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-23.098	-19.673	-13.027	2.531	8.884	6.007	11.396	6.227	6.486	9.439	10.208	9.254	27.962	34.466	25.463	10.591	9.370	4.621	-1.613	2.101	5.865	2.657	0.648	-3.100	0.068	2.027	3.861	3.623	2.742	2.707	2.607	2016
