WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	Estimates Start After	
512	AFG	NGDP_RPCH	Afghanistan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.692	0.671	11.830	5.361	13.340	3.863	20.585	8.438	6.479	13.968	5.683	2.697	0.988	2.164	2.647	1.189	3.912	-5.000	4.000	4.524	4.500	4.009	4.012	2019	
914	ALB	NGDP_RPCH	Albania	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.684	5.700	2.900	1.100	2.000	-1.500	5.600	-0.800	-1.400	9.800	-10.000	-28.000	-7.200	9.600	9.400	8.900	9.100	-10.924	8.829	12.891	6.946	8.293	4.537	5.529	5.515	5.526	5.903	5.983	7.500	3.354	3.707	2.545	1.418	1.002	1.774	2.219	3.315	3.802	4.071	2.240	-7.529	6.094	5.818	4.311	3.458	3.429	2018	
612	DZA	NGDP_RPCH	Algeria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-5.400	3.000	6.400	5.400	5.600	5.600	-0.200	-0.700	-1.900	4.800	0.800	-1.200	1.600	-2.102	-0.900	3.848	3.800	1.100	5.098	3.200	3.800	3.000	5.600	7.200	4.300	5.900	1.684	3.373	2.360	1.632	3.616	2.823	3.391	2.800	3.800	3.700	3.200	1.300	1.400	0.800	-5.461	3.163	2.557	1.149	1.029	0.949	2019	
614	AGO	NGDP_RPCH	Angola	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.406	-4.400	--	4.200	6.000	3.500	2.900	4.083	6.129	0.042	-3.450	12.084	11.403	10.969	10.511	10.364	11.208	7.274	4.691	2.181	3.055	4.206	13.666	2.990	10.953	15.029	11.548	14.010	11.166	0.859	4.859	3.472	8.542	4.955	4.823	0.944	-2.580	-0.150	-1.200	-0.900	-4.011	3.229	2.984	3.930	3.771	2.892	2018	
311	ATG	NGDP_RPCH	Antigua and Barbuda	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	8.161	3.815	-0.084	5.364	10.165	7.644	11.494	6.626	5.213	5.252	3.012	2.177	1.158	5.280	6.676	-4.359	6.605	5.471	4.731	3.708	6.692	-4.954	1.024	6.058	5.736	6.412	12.729	9.259	-0.030	-12.108	-7.574	-1.959	3.372	-0.601	3.797	3.824	5.498	3.144	6.950	3.351	-17.273	4.701	11.041	8.234	3.989	3.670	2019	
213	ARG	NGDP_RPCH	Argentina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.700	-5.744	-3.149	3.733	2.000	-6.951	7.146	2.529	-1.957	-7.007	-1.338	10.498	10.299	6.251	5.830	-2.845	5.527	8.111	3.850	-3.385	-0.789	-4.409	-10.894	8.955	8.911	8.852	8.047	9.008	4.057	-5.919	10.125	6.004	-1.026	2.405	-2.513	2.731	-2.080	2.819	-2.565	-2.088	-11.784	4.889	2.526	2.283	2.118	1.703	2019	
911	ARM	NGDP_RPCH	Armenia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-14.054	5.400	8.033	5.169	3.387	6.271	3.170	5.853	9.468	14.807	14.052	10.473	14.113	13.198	13.749	6.948	-14.150	2.200	4.700	7.134	3.412	3.607	3.254	0.195	7.518	5.225	7.582	-4.455	3.549	5.040	4.840	4.740	4.500	2019	
314	ABW	NGDP_RPCH	Aruba	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.255	7.017	1.871	1.368	7.604	-2.970	-3.271	1.977	7.909	1.220	1.051	2.034	0.153	-11.334	-3.339	3.505	-1.368	4.165	0.904	-0.448	0.483	2.342	1.200	0.400	-19.700	9.000	4.500	1.500	1.300	1.100	2017	
193	AUS	NGDP_RPCH	Australia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.894	4.127	0.063	-0.474	6.346	5.456	2.448	4.893	4.253	4.625	1.502	-1.000	2.560	3.900	4.899	2.839	4.152	4.578	4.702	4.459	3.027	2.612	4.136	2.784	4.117	3.028	2.707	4.428	2.667	1.880	2.360	2.842	3.800	2.127	2.582	2.306	2.770	2.446	2.767	1.841	-4.159	2.953	2.804	2.575	2.609	2.542	2019	
122	AUT	NGDP_RPCH	Austria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.314	-0.099	1.908	2.804	0.332	2.243	2.341	1.681	0.961	3.887	4.346	3.442	2.094	0.527	2.402	2.668	2.398	2.094	3.581	3.556	3.376	1.267	1.652	0.941	2.735	2.244	3.454	3.727	1.460	-3.765	1.837	2.923	0.680	0.026	0.661	1.015	2.083	2.476	2.420	1.601	-6.720	4.646	2.146	1.946	1.746	1.646	2019	
912	AZE	NGDP_RPCH	Azerbaijan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-23.098	-19.673	-13.027	2.531	8.884	6.007	11.396	6.227	6.486	9.439	10.208	9.254	27.962	34.466	25.463	10.591	9.369	4.789	-1.573	2.203	5.843	2.798	1.050	-3.064	0.154	1.500	2.219	-4.027	1.970	1.605	1.680	1.692	1.704	2018	
313	BHS	NGDP_RPCH	The Bahamas	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.100	-2.900	6.300	6.800	2.400	4.100	2.600	3.700	2.255	2.300	1.052	-4.182	-3.826	0.308	3.149	4.379	4.224	4.946	4.716	7.144	4.149	2.626	2.705	-1.265	0.883	3.395	2.517	1.446	-2.324	-4.175	1.539	0.613	3.087	-2.679	1.054	0.230	1.444	3.116	3.026	1.218	-14.784	4.592	5.540	4.027	2.184	1.500	2018	
419	BHR	NGDP_RPCH	Bahrain	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.494	2.777	6.406	6.994	4.186	-0.930	0.484	-1.222	5.952	1.013	3.503	2.286	7.123	7.604	3.212	1.923	3.250	2.348	4.849	5.972	7.018	2.491	3.349	6.296	6.981	6.769	6.467	8.294	6.242	2.541	4.337	1.984	3.728	5.416	4.351	2.485	3.558	4.291	1.779	1.819	-4.913	2.251	2.830	2.845	3.024	3.288	2019	
513	BGD	NGDP_RPCH	Bangladesh	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	2.376	4.016	5.181	3.223	4.249	3.732	2.159	2.612	5.941	3.339	5.040	4.574	4.085	4.925	4.622	5.387	5.225	4.872	5.945	5.274	4.415	5.256	6.270	5.956	6.629	7.059	6.014	5.045	5.572	6.464	6.521	6.014	6.061	6.553	7.114	7.284	7.864	8.153	3.799	4.400	7.940	7.300	7.300	7.300	2019	
316	BRB	NGDP_RPCH	Barbados	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.371	-1.900	-4.900	0.500	3.600	1.100	5.100	2.600	3.500	3.600	-3.300	-3.900	-5.700	0.800	2.000	2.023	3.966	4.740	3.740	0.326	4.453	-2.367	0.791	2.171	1.407	3.965	5.669	2.202	0.698	-5.076	-2.288	-0.673	-0.450	-1.411	-0.126	2.446	2.485	0.478	-0.583	-0.098	-11.600	7.400	3.918	1.840	1.840	1.840	2019	
913	BLR	NGDP_RPCH	Belarus	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-7.600	-11.700	-11.084	2.776	11.434	8.442	3.354	5.760	4.725	5.045	7.043	11.450	9.441	9.998	8.647	10.248	0.164	7.750	5.550	1.708	0.999	1.651	-3.830	-2.526	2.532	3.149	1.222	-2.991	2.206	1.966	0.907	0.675	1.284	2019	
124	BEL	NGDP_RPCH	Belgium	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.444	-0.279	0.595	0.312	2.466	1.652	1.823	2.307	4.723	3.469	3.137	1.833	1.531	-0.962	3.227	2.385	1.321	3.794	1.962	3.543	3.717	1.100	1.707	1.038	3.571	2.322	2.552	3.677	0.447	-2.021	2.864	1.695	0.739	0.459	1.579	2.033	1.478	1.904	1.488	1.404	-8.262	5.352	2.668	2.203	1.688	1.350	2019	
339	BLZ	NGDP_RPCH	Belize	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.013	0.214	-7.551	6.076	11.332	-1.419	7.275	21.997	10.861	15.474	11.209	11.465	12.083	6.276	0.147	0.664	1.416	3.595	3.685	8.770	13.048	4.681	4.747	9.316	4.777	1.957	4.824	0.510	3.465	0.237	3.002	1.914	2.426	1.302	3.619	2.850	0.104	1.863	2.079	-1.990	-16.000	8.000	5.000	3.000	2.003	2.003	2019	
638	BEN	NGDP_RPCH	Benin	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.255	1.929	1.682	-2.000	0.400	4.327	2.748	-2.074	3.428	-2.849	8.976	4.226	2.958	5.836	2.020	6.045	4.324	5.735	3.961	4.358	5.858	5.333	4.643	3.444	4.430	1.713	3.944	5.986	4.897	2.319	2.114	2.964	4.811	7.191	6.358	1.778	3.340	5.672	6.697	6.866	1.998	4.990	6.974	7.011	7.004	7.020	2018	
514	BTN	NGDP_RPCH	Bhutan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.995	13.589	8.195	7.337	7.616	4.349	7.954	20.229	15.079	6.194	9.098	4.896	2.083	3.192	2.232	6.019	5.971	5.544	6.009	7.087	6.934	7.040	9.516	9.320	6.876	6.666	7.137	12.861	10.964	5.801	9.484	9.866	6.495	3.582	3.968	6.221	7.408	6.322	3.821	3.806	0.568	-0.463	5.818	6.933	8.134	5.987	2019	
218	BOL	NGDP_RPCH	Bolivia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.610	0.300	-3.939	-4.042	-0.201	-1.676	-2.574	2.463	2.910	3.790	4.636	5.267	1.646	4.269	4.667	4.678	4.361	4.954	5.029	0.427	2.508	1.684	2.486	2.711	4.173	4.421	4.797	4.564	6.148	3.357	4.127	5.204	5.122	6.796	5.461	4.857	4.264	4.195	4.224	2.217	-7.900	5.600	4.300	4.000	3.700	3.700	2019	
963	BIH	NGDP_RPCH	Bosnia and Herzegovina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.853	13.814	10.750	4.442	2.362	5.053	3.858	6.257	4.236	5.691	5.979	5.594	-0.816	0.767	0.908	-0.707	2.351	1.148	3.088	3.146	3.164	3.716	2.700	-6.500	5.000	4.000	3.500	3.500	3.500	2018	
