WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	Estimates Start After	
512	AFG	NGDP_RPCH	Afghanistan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.692	0.671	11.830	5.361	13.340	3.863	20.585	8.438	6.479	13.968	5.683	2.697	0.988	2.164	2.647	1.189	3.912	-2.351	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2020	
914	ALB	NGDP_RPCH	Albania	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.684	5.700	2.900	1.100	2.000	-1.500	5.600	-0.800	-1.400	9.800	-10.000	-28.000	-7.200	9.600	9.400	8.900	9.100	-10.924	8.829	12.891	6.946	8.293	4.537	5.529	5.515	5.526	5.903	5.983	7.500	3.354	3.707	2.545	1.418	1.002	1.774	2.219	3.315	3.802	4.019	2.088	-3.482	8.544	2.000	2.800	3.400	3.400	3.400	3.400	2020	
612	DZA	NGDP_RPCH	Algeria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-5.400	3.000	6.400	5.400	5.600	5.600	-0.200	-0.700	-1.900	4.800	0.800	-1.200	1.600	-2.102	-0.900	3.848	3.800	1.100	5.100	3.200	3.800	3.000	5.600	7.200	4.300	5.900	1.684	3.373	2.360	1.632	3.616	2.900	3.400	2.800	3.800	3.700	3.200	1.400	1.200	0.800	-4.900	3.993	2.441	2.402	1.685	1.773	1.650	1.812	2020	
171	AND	NGDP_RPCH	Andorra	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.119	4.546	8.694	8.136	5.398	4.809	1.553	-5.559	-5.303	-1.975	-0.008	-4.974	-3.548	2.504	1.434	3.710	0.346	1.589	2.016	-11.184	8.949	4.500	2.700	2.222	1.550	1.500	1.500	2021	
614	AGO	NGDP_RPCH	Angola	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.406	-4.400	--	4.200	6.000	3.500	2.900	4.083	6.129	0.042	-3.450	12.084	11.403	10.969	10.511	10.364	11.208	7.274	4.691	2.181	3.055	4.206	13.666	2.990	10.953	15.029	11.548	14.010	11.166	0.859	4.859	3.472	8.542	4.955	4.823	0.944	-2.580	-0.150	-2.004	-0.702	-5.554	0.652	2.999	3.304	3.770	3.973	4.090	3.940	2020	
311	ATG	NGDP_RPCH	Antigua and Barbuda	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	8.162	3.815	-0.085	5.364	10.165	7.644	11.493	6.626	5.214	5.252	3.012	2.177	1.158	5.280	6.676	-4.360	6.606	5.471	4.731	3.709	6.203	-4.548	1.028	6.076	5.767	6.475	12.707	9.316	-0.014	-11.963	-7.841	-1.959	3.372	-0.601	3.797	3.824	5.497	3.144	6.884	4.862	-20.192	4.761	6.494	5.407	5.175	4.040	2.718	2.703	2019	
213	ARG	NGDP_RPCH	Argentina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.700	-5.744	-3.149	3.733	2.000	-6.951	7.146	2.529	-1.957	-7.007	-1.338	10.498	10.299	6.251	5.830	-2.845	5.527	8.111	3.850	-3.385	-0.789	-4.409	-10.894	8.955	8.911	8.852	8.047	9.008	4.057	-5.919	10.125	6.004	-1.026	2.405	-2.513	2.731	-2.080	2.819	-2.617	-2.026	-9.895	10.200	4.000	3.001	2.750	2.000	2.000	2.000	2020	
911	ARM	NGDP_RPCH	Armenia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-14.054	5.400	8.033	5.169	3.387	6.271	3.170	5.853	9.468	14.807	14.052	10.473	14.113	13.198	13.749	6.948	-14.150	2.200	4.700	7.134	3.412	3.607	3.254	0.195	7.518	5.225	7.631	-7.395	5.660	1.527	4.022	4.400	4.500	4.500	4.500	2021	
314	ABW	NGDP_RPCH	Aruba	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	16.079	18.640	12.095	3.977	7.975	5.875	7.304	8.207	2.503	1.257	7.018	1.989	1.371	7.685	4.182	-0.945	1.111	7.294	-0.383	1.127	3.090	1.836	-11.678	-2.733	3.369	-1.041	6.431	-0.015	3.551	2.110	5.474	1.279	-2.100	-22.320	16.800	2.680	3.653	2.464	1.558	1.400	1.400	2020	
193	AUS	NGDP_RPCH	Australia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.894	4.127	0.063	-0.474	6.346	5.456	2.448	4.893	4.253	4.634	1.490	-0.997	2.564	3.936	4.845	2.956	4.031	4.605	4.650	4.348	3.101	2.664	4.170	3.017	4.109	2.995	2.606	4.364	2.562	1.912	2.438	2.828	3.777	2.206	2.556	2.310	2.701	2.378	2.770	1.995	-2.179	4.693	4.161	2.455	2.274	2.305	2.481	2.585	2021	
122	AUT	NGDP_RPCH	Austria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.314	-0.099	1.908	2.804	0.332	2.243	2.341	1.681	0.961	3.887	4.346	3.442	2.094	0.527	2.402	2.668	2.398	2.094	3.581	3.556	3.376	1.267	1.652	0.941	2.735	2.244	3.454	3.727	1.460	-3.765	1.837	2.923	0.680	0.026	0.661	1.015	1.989	2.259	2.502	1.491	-6.735	4.484	2.581	3.000	2.300	1.900	1.800	1.780	2021	
912	AZE	NGDP_RPCH	Azerbaijan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-23.098	-19.673	-13.027	2.531	8.884	6.007	11.396	6.227	6.486	9.439	10.208	9.254	27.962	34.466	25.463	10.591	9.370	4.789	-1.573	2.203	5.843	2.798	1.050	-3.064	0.154	1.500	2.480	-4.310	5.619	2.846	2.605	2.467	2.476	2.471	2.493	2021	
313	BHS	NGDP_RPCH	The Bahamas	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.100	-2.900	6.300	6.800	2.400	4.100	2.600	3.700	2.255	2.300	1.052	-4.182	-3.826	0.308	3.149	4.379	4.224	4.946	4.716	7.144	4.149	2.626	2.705	-1.265	0.883	3.395	2.517	1.446	-2.324	-4.175	1.539	0.613	3.087	-3.584	2.288	1.590	0.091	1.625	2.767	0.703	-14.515	5.604	5.999	4.096	2.995	1.898	1.553	1.496	2020	
419	BHR	NGDP_RPCH	Bahrain	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.494	2.777	6.406	6.994	4.186	-0.930	0.484	-1.222	5.952	1.013	3.503	2.286	7.123	7.604	3.212	1.923	3.250	2.348	4.849	5.972	7.018	2.491	3.349	6.296	6.981	6.769	6.467	8.294	6.242	2.541	4.337	1.984	3.728	5.416	4.351	2.485	3.558	4.292	2.110	2.167	-4.936	2.226	3.291	2.983	3.000	3.018	3.034	3.050	2020	
513	BGD	NGDP_RPCH	Bangladesh	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.050	4.349	2.376	4.016	5.181	3.223	4.249	3.732	2.159	2.612	5.941	3.339	5.040	4.574	4.085	4.925	4.622	5.387	5.225	4.872	5.945	5.274	4.415	5.256	6.270	5.956	6.629	7.059	6.014	5.045	5.572	6.464	6.521	6.014	6.061	6.553	7.114	7.284	7.864	8.153	3.509	5.009	6.415	6.700	7.200	7.200	7.100	6.900	2020	
316	BRB	NGDP_RPCH	Barbados	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.371	-1.900	-4.900	0.500	3.600	1.100	5.100	2.600	3.500	3.600	-3.300	-3.900	-5.700	0.800	2.000	2.023	3.966	4.740	3.740	0.326	4.453	-2.367	0.791	2.171	1.407	3.965	5.669	2.202	0.698	-5.076	-2.288	-0.673	-0.450	-1.411	-0.126	2.446	2.485	0.478	-0.583	-1.287	-13.730	1.400	11.200	4.900	3.000	2.600	2.300	1.840	2019	
913	BLR	NGDP_RPCH	Belarus	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-7.600	-11.700	-11.084	2.776	11.434	8.442	3.354	5.760	4.717	5.048	7.033	11.439	9.452	10.001	8.637	10.235	0.168	7.805	5.290	1.629	0.962	1.686	-3.830	-2.536	2.541	3.138	1.446	-0.673	2.300	-6.391	0.371	2.159	0.671	0.574	0.574	2020	
124	BEL	NGDP_RPCH	Belgium	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.444	-0.279	0.595	0.312	2.466	1.652	1.823	2.307	4.723	3.469	3.137	1.833	1.531	-0.962	3.227	2.385	1.321	3.794	1.962	3.543	3.717	1.100	1.707	1.038	3.571	2.322	2.552	3.677	0.447	-2.021	2.865	1.694	0.739	0.459	1.579	2.041	1.267	1.620	1.819	2.149	-5.660	6.275	2.081	1.356	1.381	1.145	1.239	1.198	2020	
339	BLZ	NGDP_RPCH	Belize	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.013	0.214	-7.551	6.076	11.332	-1.419	7.275	21.997	10.861	15.474	11.209	11.464	12.058	6.276	0.158	0.644	1.429	3.545	3.741	8.779	13.020	5.015	5.120	9.327	4.649	2.200	4.561	1.167	2.757	0.295	3.328	1.603	2.429	0.847	4.466	2.897	-0.185	2.132	2.046	1.959	-16.748	9.754	5.700	3.400	2.000	2.000	2.000	2.000	2020	
638	BEN	NGDP_RPCH	Benin	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.255	1.929	1.682	-2.000	0.400	4.327	2.748	-2.074	3.428	-2.849	8.976	4.226	2.958	5.836	2.020	6.045	4.324	5.735	3.961	4.358	5.858	5.333	4.643	3.444	4.430	1.713	3.944	5.986	4.897	2.319	2.114	2.964	4.811	7.191	6.358	1.778	3.340	5.672	6.697	6.866	3.849	6.576	5.940	6.150	6.007	6.015	6.036	6.028	2020	
514	BTN	NGDP_RPCH	Bhutan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.995	13.589	8.195	7.337	7.616	4.349	7.954	20.229	15.079	6.194	9.098	4.896	2.083	3.192	2.232	6.019	5.971	5.544	6.009	7.087	6.934	7.040	9.516	9.320	6.876	6.666	7.137	12.861	10.964	5.801	9.484	9.866	6.495	3.582	3.968	6.221	7.408	6.322	3.835	4.425	-2.382	-3.730	4.385	4.498	6.659	6.171	5.896	5.762	2021	
218	BOL	NGDP_RPCH	Bolivia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.610	0.300	-3.939	-4.042	-0.201	-1.676	-2.574	2.463	2.910	3.790	4.636	5.267	1.647	4.269	4.667	4.678	4.361	4.954	5.029	0.427	2.508	1.684	2.486	2.711	4.173	4.421	4.797	4.564	6.148	3.357	4.127	5.204	5.122	6.796	5.461	4.857	4.264	4.195	4.224	2.217	-8.738	6.106	3.800	3.700	3.600	3.500	3.400	3.400	2020	
963	BIH	NGDP_RPCH	Bosnia and Herzegovina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.853	13.814	10.750	4.442	2.362	5.053	3.858	6.257	4.236	5.691	5.979	5.594	-0.816	0.767	0.908	-0.707	2.351	1.148	3.088	3.146	3.176	3.740	2.831	-3.119	5.800	2.450	2.250	3.000	3.000	3.000	3.000	2020	
616	BWA	NGDP_RPCH	Botswana	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	12.020	8.154	15.874	10.793	6.517	7.695	8.616	14.890	23.420	4.665	8.787	6.237	-0.208	4.027	-0.786	8.453	2.466	7.106	-1.622	8.035	4.271	2.348	7.434	5.388	1.397	4.972	6.034	5.793	3.252	-14.144	10.122	6.839	-0.171	11.103	5.697	-4.851	7.202	4.113	4.190	3.033	-8.726	12.515	4.305	4.227	3.964	3.956	4.006	3.986	2020	
