WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	Estimates Start After	
512	AFG	NGDP_RPCH	Afghanistan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.692	0.671	11.830	5.361	13.340	3.863	20.585	8.438	6.479	13.968	5.683	2.697	0.988	2.164	2.647	1.189	3.912	-2.351	-14.542	-6.240	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2023	
914	ALB	NGDP_RPCH	Albania	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	2.684	5.700	2.900	1.100	2.000	-1.500	5.600	-0.800	-1.400	9.800	-10.000	-28.000	-7.200	9.600	9.400	8.900	9.100	-10.924	8.829	12.891	6.946	8.293	4.537	5.529	5.515	5.526	5.903	5.983	7.500	3.354	3.707	2.545	1.418	1.002	1.774	2.219	3.315	3.802	4.019	2.088	-3.302	8.909	4.844	3.297	3.080	3.393	3.507	3.463	3.473	3.473	2022	
612	DZA	NGDP_RPCH	Algeria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	-5.400	3.000	6.400	5.400	5.600	5.600	-0.200	-0.700	-1.900	4.800	0.800	-1.200	1.600	-2.102	-0.900	3.848	3.800	1.100	5.100	3.200	3.800	3.000	5.394	6.503	4.531	5.361	2.869	3.135	2.452	1.156	4.815	2.993	2.433	2.597	4.086	3.162	3.884	1.524	1.440	0.933	-5.017	3.805	3.616	4.184	3.848	3.104	2.521	2.111	2.109	2.115	2022	
171	AND	NGDP_RPCH	Andorra	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.119	4.546	8.694	8.136	5.398	4.809	1.553	-5.559	-5.303	-1.975	-0.008	-4.974	-3.548	2.504	1.434	3.710	0.346	1.589	2.016	-11.184	8.287	9.565	2.275	1.800	1.500	1.500	1.500	1.500	1.500	2022	
614	AGO	NGDP_RPCH	Angola	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	2.406	-4.400	--	4.200	6.000	3.500	2.900	4.083	6.129	0.042	-3.450	12.084	11.403	10.969	10.511	10.364	11.208	7.274	4.691	2.181	3.055	4.206	13.666	2.990	10.953	15.029	11.548	14.010	11.166	0.859	4.859	3.472	8.542	4.955	4.823	0.944	-2.580	-0.150	-1.316	-0.702	-5.638	1.199	3.045	0.470	2.558	3.128	3.395	3.498	3.566	3.629	2022	
311	ATG	NGDP_RPCH	Antigua and Barbuda	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	8.162	3.815	-0.085	5.364	10.165	7.644	11.493	6.626	5.214	5.252	3.012	2.177	1.158	5.280	6.676	-4.360	6.606	5.471	4.731	3.709	6.203	-4.548	1.028	6.076	5.767	6.475	12.707	9.316	-0.014	-11.963	-7.841	-1.959	3.372	-0.601	3.797	3.824	5.497	3.144	6.824	4.344	-17.503	6.556	8.459	5.863	6.077	4.035	2.760	2.756	2.769	2.783	2022	
213	ARG	NGDP_RPCH	Argentina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	0.700	-5.744	-3.149	3.733	2.000	-6.951	7.146	2.529	-1.957	-7.007	-1.338	10.498	10.299	6.251	5.830	-2.845	5.527	8.111	3.850	-3.385	-0.789	-4.409	-10.894	8.955	8.911	8.852	8.047	9.008	4.057	-5.919	10.125	6.004	-1.026	2.405	-2.513	2.731	-2.080	2.818	-2.617	-2.001	-9.900	10.718	4.956	-1.569	-2.764	5.003	4.495	3.900	3.100	2.301	2022	
911	ARM	NGDP_RPCH	Armenia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-14.054	5.400	8.033	5.169	3.387	6.271	3.170	5.853	9.468	14.807	14.052	10.473	14.113	13.198	13.749	6.948	-14.150	2.200	4.700	7.134	3.412	3.607	3.254	0.195	7.518	5.225	7.631	-7.151	5.684	12.604	8.714	6.011	5.250	4.500	4.500	4.500	4.500	2022	
314	ABW	NGDP_RPCH	Aruba	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	16.079	18.640	12.095	3.977	7.975	5.875	7.304	8.207	2.503	1.257	7.018	1.989	1.371	7.684	4.182	-0.945	1.111	7.294	-0.383	1.127	3.090	1.836	-11.678	-2.733	3.369	-1.041	6.431	-1.587	-0.624	1.720	7.049	2.382	-2.303	-23.983	27.639	10.458	5.300	1.100	1.000	1.100	1.100	1.100	1.100	2022	
193	AUS	NGDP_RPCH	Australia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	2.894	4.127	0.063	-0.474	6.346	5.456	2.448	4.893	4.253	4.644	1.513	-0.995	2.584	3.929	4.851	2.959	4.013	4.658	4.708	4.411	3.088	2.638	4.152	3.003	4.121	3.005	2.634	4.369	2.567	1.967	2.439	2.770	3.798	2.232	2.586	2.349	2.720	2.420	2.849	1.815	-2.129	5.554	3.811	2.063	1.461	2.045	2.150	2.202	2.232	2.258	2023	
122	AUT	NGDP_RPCH	Austria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	2.314	-0.099	1.908	2.804	0.332	2.243	2.341	1.681	0.961	3.887	4.346	3.442	2.094	0.527	2.402	2.668	2.398	2.094	3.581	3.556	3.376	1.267	1.652	0.941	2.735	2.244	3.454	3.727	1.460	-3.765	1.837	2.923	0.680	0.026	0.661	1.015	1.989	2.259	2.425	1.451	-6.633	4.238	4.806	-0.746	0.435	1.584	1.359	1.003	0.883	0.916	2023	
912	AZE	NGDP_RPCH	Azerbaijan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-23.098	-19.673	-13.027	2.531	8.884	6.007	11.396	6.227	6.486	9.439	10.208	9.254	26.400	34.466	25.000	10.770	9.260	5.000	0.100	2.203	5.843	2.768	1.080	-3.064	0.154	1.470	2.480	-4.199	5.616	4.577	1.100	2.764	2.316	2.329	2.350	2.353	2.424	2022	
313	BHS	NGDP_RPCH	The Bahamas	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	7.100	-2.900	6.300	6.800	2.400	4.100	2.600	3.700	2.255	2.300	1.052	-4.182	-3.826	0.308	3.149	4.379	4.224	4.946	4.716	7.144	4.149	2.626	2.705	-1.265	0.883	3.395	2.517	1.447	-2.324	-4.175	1.539	0.613	3.499	-2.863	1.847	0.997	-0.763	2.524	2.918	-0.744	-23.508	16.985	14.369	4.304	2.299	1.800	1.600	1.500	1.500	1.500	2022	
419	BHR	NGDP_RPCH	Bahrain	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	7.494	2.777	6.406	6.994	4.186	-0.930	0.484	-1.222	5.952	1.013	3.503	2.286	7.123	7.604	3.212	1.923	3.250	2.348	4.849	5.972	7.018	2.491	3.349	6.296	6.981	6.769	6.467	8.294	6.242	2.541	4.337	1.984	3.728	5.416	4.351	2.485	3.558	4.292	2.110	2.167	-4.645	2.591	4.891	2.617	3.567	3.162	2.665	2.718	2.715	2.812	2022	
513	BGD	NGDP_RPCH	Bangladesh	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	3.802	2.376	4.016	5.181	3.223	4.249	3.732	2.159	2.612	5.941	3.339	5.040	4.574	4.085	4.925	4.622	4.490	5.177	4.670	5.293	5.077	3.833	4.740	5.240	6.536	6.672	7.059	6.014	5.045	5.572	6.464	6.521	6.014	6.061	6.553	7.114	6.590	7.319	7.882	3.448	6.939	7.100	6.025	5.700	6.600	7.100	7.200	7.000	7.000	2023	
316	BRB	NGDP_RPCH	Barbados	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	4.371	-1.900	-4.900	0.500	3.600	1.100	5.100	2.600	3.500	3.600	-3.300	-3.900	-5.700	0.800	2.000	2.023	3.966	4.740	3.740	0.326	4.453	-2.367	0.791	2.171	1.407	3.965	5.669	2.202	0.698	-5.076	-2.288	-0.673	-0.450	-1.411	-0.126	2.446	2.485	-0.686	-0.675	0.332	-12.713	-1.324	13.800	4.400	3.700	2.800	2.300	2.000	2.000	2.000	2022	
913	BLR	NGDP_RPCH	Belarus	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-7.600	-11.700	-11.084	2.776	11.434	8.442	3.354	5.760	4.717	5.048	7.033	11.439	9.452	10.001	8.637	10.235	0.168	7.805	5.290	1.629	0.962	1.686	-3.830	-2.536	2.541	3.138	1.446	-0.673	2.439	-4.698	3.882	2.401	1.149	1.326	1.269	1.247	1.067	2022	
124	BEL	NGDP_RPCH	Belgium	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	4.444	-0.279	0.595	0.312	2.466	1.652	1.823	2.307	4.723	3.469	3.137	1.833	1.531	-0.962	3.227	2.385	1.321	3.794	1.962	3.543	3.717	1.100	1.707	1.038	3.571	2.322	2.552	3.677	0.447	-2.021	2.865	1.694	0.739	0.459	1.579	2.041	1.267	1.620	1.793	2.241	-5.261	6.851	3.010	1.461	1.158	1.194	1.240	1.225	1.342	1.253	2023	
