WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	Estimates Start After	
512	AFG	NGDP_RPCH	Afghanistan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.692	0.671	11.830	5.361	13.340	3.863	20.585	8.438	6.479	13.968	5.683	2.697	0.988	2.164	2.647	1.189	3.912	-2.351	-14.542	-6.240	2.267	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2024	
914	ALB	NGDP_RPCH	Albania	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	2.684	5.700	2.900	1.100	2.000	-1.500	5.600	-0.800	-1.400	9.800	-10.000	-28.000	-7.200	9.600	9.400	8.900	9.100	-10.924	8.829	12.891	6.946	8.293	4.537	5.529	5.515	5.526	5.903	5.983	7.500	3.354	3.707	2.545	1.418	1.002	1.774	2.219	3.315	3.802	4.019	2.088	-3.314	8.970	4.827	3.937	3.962	3.788	3.468	3.501	3.466	3.483	3.482	2022	
612	DZA	NGDP_RPCH	Algeria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	-5.400	3.000	6.400	5.400	5.600	5.600	-0.200	-0.700	-1.900	4.800	0.800	-1.200	1.600	-2.102	-0.900	3.848	3.800	1.100	5.100	3.200	3.800	3.000	5.394	6.503	4.531	5.361	2.869	3.135	2.452	1.156	4.815	2.993	2.433	2.597	4.086	3.162	3.884	1.524	1.440	0.933	-5.017	3.805	3.636	4.100	3.536	3.496	3.004	2.803	2.794	2.404	2.401	2023	
171	AND	NGDP_RPCH	Andorra	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.119	4.546	8.694	8.136	5.398	4.809	1.553	-5.559	-5.303	-1.975	-0.008	-4.974	-3.548	2.504	1.434	3.710	0.346	1.589	2.016	-11.184	8.287	9.565	2.584	3.373	1.900	1.600	1.500	1.500	1.500	1.500	2024	
614	AGO	NGDP_RPCH	Angola	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	2.406	-4.400	0.000	4.200	6.000	3.500	2.900	4.083	6.129	0.042	-3.450	12.084	11.403	10.969	10.511	10.364	11.208	7.274	4.691	2.181	3.055	4.206	13.666	3.490	11.420	14.150	11.840	13.000	10.790	2.000	5.290	3.590	8.500	4.880	4.660	0.760	-1.700	-0.140	-0.590	-0.200	-4.040	2.100	4.220	1.001	4.503	2.374	2.076	2.521	2.879	2.982	3.087	2023	
311	ATG	NGDP_RPCH	Antigua and Barbuda	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	8.162	3.814	-0.084	5.364	10.165	7.644	11.494	6.626	5.213	5.252	3.012	2.177	1.159	5.280	6.676	-4.360	6.605	5.471	4.731	3.708	6.204	-4.548	1.027	6.077	5.767	6.474	12.708	9.315	-0.014	-11.963	-7.841	-1.959	3.373	-0.601	2.198	1.422	4.120	2.713	6.712	3.172	-18.869	8.173	9.108	2.427	4.313	3.048	2.541	2.548	2.486	2.492	2.498	2022	
213	ARG	NGDP_RPCH	Argentina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	0.700	-5.744	-3.149	3.733	2.000	-6.951	7.146	2.529	-1.957	-7.007	-1.338	10.498	10.299	6.251	5.830	-2.845	5.527	8.111	3.850	-3.385	-0.789	-4.409	-10.894	8.955	8.911	8.852	8.047	9.008	4.057	-5.919	10.125	6.004	-1.026	2.405	-2.513	2.731	-2.080	2.819	-2.617	-2.001	-9.900	10.442	5.270	-1.611	-1.719	5.502	4.520	3.960	3.240	3.129	2.973	2024	
911	ARM	NGDP_RPCH	Armenia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-14.054	5.400	8.033	5.169	3.387	6.271	3.170	5.853	9.468	14.807	14.052	10.473	14.113	13.198	13.749	6.948	-14.150	2.200	4.700	7.134	3.412	3.607	3.254	0.195	7.518	5.225	7.631	-7.105	5.770	12.569	8.316	5.941	4.505	4.500	4.500	4.500	4.500	4.500	2022	
314	ABW	NGDP_RPCH	Aruba	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	16.079	18.640	12.095	3.977	7.975	5.875	7.304	8.207	2.500	1.257	7.018	1.989	1.371	7.684	4.182	-0.945	1.111	7.294	-0.383	1.127	3.090	1.836	-11.678	-2.733	3.369	-1.041	6.431	-1.587	-0.624	1.720	7.049	2.382	-2.218	-26.212	24.133	8.518	4.264	6.490	2.200	2.580	2.490	1.590	1.300	1.300	2023	
193	AUS	NGDP_RPCH	Australia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	2.894	4.127	0.063	-0.474	6.346	5.456	2.448	4.893	4.253	4.633	1.494	-0.982	2.591	3.921	4.875	2.951	3.973	4.713	4.671	4.437	3.099	2.601	4.159	3.016	4.113	3.029	2.620	4.339	2.594	1.965	2.419	2.785	3.789	2.219	2.575	2.340	2.694	2.380	2.791	1.936	-1.955	5.412	4.142	2.056	1.038	1.634	2.078	2.296	2.327	2.293	2.272	2024	
